sample_id,manufacturer,label,label_strength,source_file,source_event_id,substation_id,window_start,window_end,window_days,window_policy,report_date,possible_anomaly_start,possible_anomaly_end,training_start,training_end,fault_label,expansion_status,exclusion_reason,event67_flag,disturbance_count,disturbance_types,sample_count,expected_sample_count,coverage_rate,outdoor_temperature__mean,outdoor_temperature__std,outdoor_temperature__min,outdoor_temperature__max,outdoor_temperature__median,outdoor_temperature__last_minus_first,outdoor_temperature__missing_rate,s_hc1_supply_temperature__mean,s_hc1_supply_temperature__std,s_hc1_supply_temperature__min,s_hc1_supply_temperature__max,s_hc1_supply_temperature__median,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature__missing_rate,s_hc1_supply_temperature_setpoint__mean,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint__max,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint__missing_rate,p_hc1_return_temperature__mean,p_hc1_return_temperature__std,p_hc1_return_temperature__min,p_hc1_return_temperature__max,p_hc1_return_temperature__median,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature__missing_rate,p_net_meter_energy__mean,p_net_meter_energy__std,p_net_meter_energy__min,p_net_meter_energy__max,p_net_meter_energy__median,p_net_meter_energy__last_minus_first,p_net_meter_energy__missing_rate,p_net_meter_volume__mean,p_net_meter_volume__std,p_net_meter_volume__min,p_net_meter_volume__max,p_net_meter_volume__median,p_net_meter_volume__last_minus_first,p_net_meter_volume__missing_rate,p_net_meter_heat_power__mean,p_net_meter_heat_power__std,p_net_meter_heat_power__min,p_net_meter_heat_power__max,p_net_meter_heat_power__median,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power__missing_rate,p_net_meter_flow__mean,p_net_meter_flow__std,p_net_meter_flow__min,p_net_meter_flow__max,p_net_meter_flow__median,p_net_meter_flow__last_minus_first,p_net_meter_flow__missing_rate,p_net_supply_temperature__mean,p_net_supply_temperature__std,p_net_supply_temperature__min,p_net_supply_temperature__max,p_net_supply_temperature__median,p_net_supply_temperature__last_minus_first,p_net_supply_temperature__missing_rate,p_net_return_temperature__mean,p_net_return_temperature__std,p_net_return_temperature__min,p_net_return_temperature__max,p_net_return_temperature__median,p_net_return_temperature__last_minus_first,p_net_return_temperature__missing_rate,train_status
normal_0002,manufacturer_1,normal,normal,substation_9.csv,2,9,2019-01-02 00:00:00,2019-01-09 00:00:00,7.0,normal_event_start_to_end,,,,2017-01-02 00:00:00,2019-01-02 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,8.137098214285714,1.3252635110275834,4.73,10.57,8.06,3.46,0.0,46.05279761904762,3.568694752296532,38.83,55.67,45.845,1.490000000000002,0.0,46.01712301587301,3.5194735117834055,40.0,55.2,45.79,1.5700000000000003,0.0,39.16090773809524,2.6376418281345493,33.09,47.58,39.095,3.6400000000000006,0.0,421170.96180555556,584.197791303567,420196.0,422198.0,421145.0,2002.0,0.0,9137.942212301587,11.75774064651844,9118.2,9158.5,9137.4,40.29999999999927,0.0,11.953819444444445,3.444136792783794,5.6,30.0,11.6,0.7000000000000011,0.0,240.65277777777777,61.24914909100061,125.0,541.0,232.0,-3.0,0.0,88.42162698412699,1.6857980679384401,83.0,93.0,89.0,5.0,0.0,45.573412698412696,1.6646829353933235,39.0,51.0,46.0,1.0,0.0,
normal_0004,manufacturer_1,normal,normal,substation_15.csv,4,15,2019-03-01 00:00:00,2019-03-08 00:00:00,7.0,normal_event_start_to_end,,,,2017-06-05 10:34:00,2019-03-01 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,8.00625,2.21705733404504,3.1,14.7,7.8,-3.5,0.0,74.6358134920635,3.3056070347005067,62.9,82.3,76.0,3.25,0.0,74.78665674603175,3.219147813431542,58.5,77.0,77.0,2.5,0.0,53.703125,4.252805914829121,44.1,63.2,55.6,2.200000000000003,0.0,414379.68344965106,1628.3105993993706,411703.0,417202.3333333333,414276.0,5499.333333333314,0.00496031746031746,8980.734593718842,38.23961680117821,8916.04,9046.136666666667,8979.446666666667,130.09666666666635,0.00496031746031746,33.65204386839481,11.15662677876279,20.0,100.0,31.33333333333333,7.666666666666668,0.00496031746031746,789.3915752741775,199.6982568518916,428.0,1609.0,797.1428571428571,281.83333333333337,0.00496031746031746,92.29910269192423,1.9839882741315904,89.0,97.0,92.0,3.8333333333333144,0.00496031746031746,54.58175473579262,4.238703497701461,37.0,62.0,56.42857142857143,9.333333333333336,0.00496031746031746,
normal_0008,manufacturer_1,normal,normal,substation_6.csv,8,6,2020-06-02 00:00:00,2020-06-09 00:00:00,7.0,normal_event_start_to_end,,,,2019-04-23 09:41:00,2020-06-02 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,19.016711474867723,2.725211328929555,12.875,24.47,18.925,-0.06999999999999673,0.0,37.31601306216932,10.334631170212603,22.71,65.76,34.41,-10.209999999999997,0.0,34.11034970238095,13.919707538573881,10.0,51.085,40.73,0.12000000000000455,0.0,29.249823743386248,3.7483687458400397,21.27,39.63,30.355,0.120000000000001,0.0,198241.1609126984,107.12711968292362,198008.0,198381.0,198286.0,373.0,0.0,3525.5629050925922,2.0770247685429792,3521.0,3528.4,3526.4,7.400000000000091,0.0,2.388376322751323,4.09671651788055,0.0,16.1,0.1,0.1,0.0,47.899652777777774,80.79544445299415,0.0,432.0,2.0,1.0,0.0,64.13315145502645,20.108110641246736,23.0,81.0,74.0,-4.0,0.0,29.71969246031746,3.7895169991190127,22.0,40.0,31.0,0.0,0.0,
normal_0012,manufacturer_1,normal,normal,substation_19.csv,12,19,2017-09-30 00:00:00,2017-10-07 00:00:00,7.0,normal_event_start_to_end,,,,2015-10-01 00:00:00,2017-09-30 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,11.176488095238097,3.1454492226344932,4.4,17.6,11.1,-4.800000000000001,0.0,47.45818452380952,4.311866144736833,36.6,58.4,47.275,3.5999999999999943,0.0,47.438988095238095,4.240906829055319,38.0,58.2,47.2,3.6499999999999986,0.0,39.86185515873016,2.8508140670584963,33.2,47.5,39.7,2.1999999999999957,0.0,8898315.590277778,8021.603952424564,8885600.0,8912650.0,8897606.666666668,27050.0,0.0,231298.99320436508,162.83287054304856,231042.8,231589.4833333333,231282.43333333335,546.6833333333198,0.0,160.54265873015873,73.33162067383454,50.0,380.0,133.5,212.33333333333331,0.0,3250.410714285714,1210.749267783474,1224.0,7020.0,2880.0,3288.0,0.0,87.89265376984127,0.7081318256506279,85.72,89.14,88.02666666666667,1.75,0.0,46.48865575396825,3.448612900426448,36.59,54.11,47.652499999999996,-11.515,0.0,
normal_0014,manufacturer_1,normal,normal,substation_26.csv,14,26,2019-12-08 00:00:00,2019-12-15 00:00:00,7.0,normal_event_start_to_end,,,,2018-10-18 13:10:00,2019-12-08 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,5.069732142857143,2.1272740569295654,0.38,9.8,5.215,2.7899999999999996,0.0,62.535,5.704413990688253,42.31,75.05,63.515,-24.809999999999995,0.0,61.92005456349206,2.707739179050789,54.71,65.0,62.58,-2.559999999999995,0.0,33.872232142857136,1.8573413283531142,29.78,40.73,33.56,-0.8299999999999983,0.0,87302.41071428571,787.0710707246735,85964.0,88657.0,87283.0,2693.0,0.0,1718.5881448412697,12.862209599458035,1696.9,1740.6,1718.35,43.69999999999982,0.0,15.754017857142857,7.76937889977447,0.0,46.7,15.649999999999999,5.699999999999999,0.0,255.9206349206349,120.84840007295216,0.0,705.0,255.0,214.0,0.0,91.69940476190476,2.1505916238396905,86.0,97.0,91.0,-3.0,0.0,38.90376984126984,4.8186234291897945,31.0,56.0,38.0,12.0,0.0,
normal_0016,manufacturer_1,normal,normal,substation_17.csv,16,17,2017-10-15 00:00:00,2017-10-22 00:00:00,7.0,normal_event_start_to_end,,,,2015-12-02 12:00:00,2017-10-15 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,13.326339285714287,3.2695198229792557,6.5,19.2,13.9,5.500000000000002,0.0,66.81354166666667,3.14776960431936,58.8,72.7,68.075,0.7999999999999972,0.0,66.5375,3.7494524591990026,49.4,74.5,67.9,-6.799999999999997,0.0,64.34201388888889,2.8805925635509886,58.6,68.8,65.875,2.75,0.0,1558203.6450597544,1876.3028012638154,1554346.0,1561445.88,1558304.5,7099.879999999888,0.4880952380952381,44378.143206169254,70.36894591680243,44237.67,44501.0828,44380.823333333334,263.41279999999824,0.4880952380952381,53.44125322997416,26.239385224719975,0.0,123.0,49.666666666666664,-22.28,0.4880952380952381,2080.708688630491,985.668569016277,0.0,4860.0,1956.708333333333,-913.4,0.4880952380952381,89.81184077842376,0.9853056697373749,83.05,91.62,90.00666666666666,-0.7732000000000028,0.4880952380952381,67.39231506782946,1.1321250797188058,60.97,69.09,67.61625000000001,-1.4628000000000156,0.4880952380952381,
normal_0017,manufacturer_1,normal,normal,substation_2.csv,17,2,2018-02-27 00:00:00,2018-03-06 00:00:00,7.0,normal_event_start_to_end,,,,2016-02-28 00:00:00,2018-02-27 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,8.103075396825396,2.54465295387801,3.4,13.2,7.25,-3.6499999999999995,0.0,48.65252976190476,4.963036763084177,38.8,59.9,48.975,1.0999999999999943,0.0,48.64895833333333,4.94616162318131,40.0,59.8,49.0,0.0,0.0,42.93313492063492,4.105398061207225,34.1,52.3,43.1,-0.14999999999999858,0.0,256739.83482142858,393.5718710611829,256131.0,257536.8333333333,256679.91666666666,1405.833333333314,0.0,4987.679816468254,7.198088297026568,4976.64,5002.011666666666,4986.679166666667,25.371666666665988,0.0,8.063492063492063,3.6414896284721108,0.0,29.0,7.333333333333333,2.666666666666666,0.0,152.13392857142858,63.832643231469824,1.0,433.0,136.33333333333331,33.16666666666666,0.0,91.57142857142857,3.029484998154883,85.0,99.0,92.0,0.16666666666668561,0.0,43.17857142857143,4.074159645405967,30.0,52.0,43.333333333333336,2.0,0.0,
normal_0018,manufacturer_1,normal,normal,substation_16.csv,18,16,2018-11-30 00:00:00,2018-12-07 00:00:00,7.0,normal_event_start_to_end,,,,2017-08-08 13:39:00,2018-11-30 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,2.0501984126984127,2.29117623515384,-3.0,7.0,1.2,-6.8,0.0,69.95590277777777,1.4514049552291655,52.9,80.6,70.0,0.14999999999999147,0.0,69.99315476190476,0.16192354129208883,65.4,70.0,70.0,0.0,0.0,49.51641865079365,2.444150906907998,45.1,63.2,48.325,-2.799999999999997,0.0,1779566.8353174604,992.9686982486788,1777990.0,1781366.6666666667,1779457.5,3376.6666666667443,0.0,47149.43273809524,25.21635870656034,47107.1,47193.43333333333,47147.333333333336,86.33333333332848,0.0,19.70188492063492,3.840310673852367,0.0,40.0,19.5,6.5,0.0,513.9285714285714,78.53071592527793,0.0,960.0,510.0,-10.0,0.0,84.84613095238095,4.157755267475504,77.19,93.5,85.22166666666666,10.203333333333333,0.0,50.01065972222222,2.3107714667987427,45.88,54.43,48.9725,-3.2566666666666677,0.0,
normal_0019,manufacturer_1,normal,normal,substation_8.csv,19,8,2018-02-01 00:00:00,2018-02-08 00:00:00,7.0,normal_event_start_to_end,,,,2016-02-02 00:00:00,2018-02-01 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,4.832738095238095,1.3388695385912586,1.9,7.9,4.7,3.25,0.0,55.33204365079366,6.969133250429616,35.6,74.9,57.0,-6.549999999999997,0.0,55.33467261904762,6.766724889622852,40.0,67.6,57.1,-9.399999999999999,0.0,36.89935515873016,4.302006077034906,26.8,47.6,36.8,1.1999999999999957,0.0,226192.05141723354,906.876420947718,224559.0,227706.66666666663,226101.3333333333,3147.666666666628,0.125,3787.300930839002,14.172206792134745,3761.85,3811.2133333333336,3785.78,49.363333333333685,0.125,17.54126984126984,5.451574375477244,1.0,48.0,16.5,16.0,0.125,284.5188775510204,78.02919311639481,26.0,670.0,274.75,132.0,0.125,94.8109410430839,2.2530408773108714,89.0,103.0,94.33333333333331,4.666666666666686,0.125,39.93287981859411,4.126779163465313,23.0,48.0,40.0,-10.166666666666671,0.125,
normal_0021,manufacturer_1,normal,normal,substation_1.csv,21,1,2019-12-01 00:00:00,2019-12-08 00:00:00,7.0,normal_event_start_to_end,,,,2018-06-20 14:50:00,2019-12-01 00:00:00,,accepted,,False,0,,1008,1008.0,1.0,9.228329872921389,3.5478378098539864,2.72,17.39,8.805,-2.0624999999999996,0.0,49.573969848356015,7.907910275408506,28.13,65.43,51.50083333333333,2.789999999999999,0.0,49.299052000661376,7.73797027378397,29.45,64.55,51.3,4.137500000000003,0.0,41.12133524659864,5.334863002206765,27.015,53.02,41.98,1.7999999999999972,0.0,1214570.6913194447,1911.5046803432276,1211466.5,1218239.0,1214380.0,6772.5,0.0,24284.41424685847,33.03052953144577,24231.675,24347.2,24281.3,115.52500000000146,0.0,40.78572172619047,23.826889949804613,3.1,152.1,36.6,3.6499999999999986,0.0,686.3368220899471,354.23249063519467,62.0,2003.0,639.0,94.5,0.0,95.44546957671957,2.6480768328085933,90.0,103.25,95.0,-4.25,0.0,44.75797784391535,4.838756625081262,26.0,61.0,45.0,0.75,0.0,
