sample_id,manufacturer,source_event_id,substation_id,manufacturer_substation_id,label,y,window_policy,fault_group,fault_label,sample_count,expected_sample_count,coverage_rate,main_eligible,common10_ready,dhw_supply_available,dhw_storage_available,dhw_return_available,multi_circuit_available,system_capability_group,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature__last_minus_first,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_minus_first,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,exclude_reason,fault_label_unknown,training_end_missing,low_coverage_flag,long_anomaly_flag,anomaly_metadata_missing,anomaly_start_to_report_days,special_event_reason
M1_normal_0002,M1,2,9,M1_9,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,True,True,False,False,dhw_storage,2.0175,0.4477777777777785,3.46,-0.8015277777777712,0.07712384259259863,-5.417196031083975,-0.03703703703703809,0.11416087962963051,2.6400000000000006,-0.20273148148147868,0.11739082614358853,-0.0799999999999983,-0.16921296296295907,,,,,,,,
M1_normal_0004,M1,4,15,M1_15,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,True,True,False,True,dhw_storage,5.370833333333333,-3.565277777777778,-3.5,-1.974305555555567,-0.7550925925925824,-24.730324103631915,-0.6346809921096863,-0.09684347109041547,-7.133333333333333,-0.6008101851851819,0.1711642833240954,0.75,-1.166087962962962,,,,,,,,
M1_normal_0008,M1,8,6,M1_6,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,False,False,False,False,heating_common_only,-0.17289351851852075,-3.078009259259261,-0.06999999999999673,0.6668749999999939,1.9352384259259274,1.8993690957557448,1.9554976851851826,-0.020259259259259088,0.120000000000001,1.5350507330246899,-1.9083951308938207,-10.330000000000002,6.232616705246919,,,,,,,,
M1_normal_0012,M1,12,19,M1_19,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,True,True,True,True,dhw_storage_return,5.41875,-5.7416666666666725,-4.800000000000001,-0.28680555555556,0.1899305555555557,-279.051657460315,-0.2633622685185273,0.45329282407407323,13.714999999999996,0.41458333333333997,-2.9045726351063337,-0.05000000000000426,0.3733796296296319,,,,,,,,
M1_normal_0014,M1,14,26,M1_26,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,True,True,True,True,dhw_storage_return,-0.063194444444445,-1.4286111111111115,2.7899999999999996,2.1424999999999983,0.45984953703703724,-14.370468132192343,1.3356481481481524,-0.8757986111111116,-12.829999999999998,0.5037731481481629,0.3283574799727189,-22.25,0.7028530092592646,,,,,,,,
M1_normal_0016,M1,16,17,M1_17,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,False,True,False,False,dhw_storage,4.05347222222222,-0.7749999999999986,5.500000000000002,-0.5326388888889042,-0.8207175925926009,158.26732381782995,-0.08737960526316613,0.2512476959920755,0.9628000000000156,-1.6495370370370352,0.4064804532942521,7.599999999999994,-2.5107638888888744,,,,,,,,
M1_normal_0017,M1,17,2,M1_2,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,False,False,False,False,heating_common_only,2.561805555555556,-1.3958333333333348,-3.6499999999999995,0.2930555555555614,-0.16099537037037948,11.148237263581699,-0.36226851851851904,0.20127314814814828,-2.1499999999999986,1.19774305555557,-0.29916647254190476,1.0999999999999943,1.1585648148148167,,,,,,,,
M1_normal_0018,M1,18,16,M1_16,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,False,False,True,False,dhw_return,1.4777777777777779,-0.6458333333333335,-6.8,-4.06666666666667,-0.32864583333333286,-1.4644697307250851,-0.6082870370370301,0.2796412037037038,0.45666666666667055,-0.05428240740739909,-0.8472005165436358,0.14999999999999147,0.007986111111108585,,,,,,,,
M1_normal_0019,M1,19,8,M1_8,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,True,True,True,False,dhw_storage_return,-1.5215277777777771,-0.44722222222222197,3.25,1.4444444444444429,1.7191550925925867,14.744565494709022,1.554986105328389,-0.2483123057408716,11.366666666666667,-2.1304976851851833,-0.6649759298839824,2.8500000000000014,-2.207291666666663,,,,,,,,
M1_normal_0021,M1,21,1,M1_1,normal,0,normal_event_7d,normal,,1008,1008,1.0,True,True,True,True,False,False,dhw_storage,1.677671296296296,-2.1318055555555553,-2.0624999999999996,-1.4591874999999987,6.143344411375658,-86.83394522753377,3.7090374228395007,2.4343069885361555,1.0499999999999972,9.71842792383157,-2.9483005820680024,-1.3475000000000037,9.581254147376555,,,,,,,,
