candidate_type,feature_set,model,threshold_policy,min_leave_manufacturer_ba,min_recall,max_normal_fpr,candidate_pass,decision
system_aux_model,common13,lightgbm_depth3,dhw_storage_return@0.4,,0.9,0.16666666666666666,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,dhw_storage_return@0.5,,0.9,0.16666666666666666,True,system_aux_model_candidate
system_aux_model,common13,random_forest_depth3,heating_common_only@0.4,,0.9,0.1875,True,system_aux_model_candidate
system_aux_model,common13,extra_trees_depth3,dhw_storage@0.5,,0.8148148148148148,0.11764705882352941,True,system_aux_model_candidate
system_aux_model,common13,logistic_balanced,dhw_storage@0.5,,0.8148148148148148,0.11764705882352941,True,system_aux_model_candidate
system_aux_model,common13,logistic_balanced,dhw_storage@0.6,,0.7037037037037037,0.029411764705882353,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,dhw_storage_return@0.6,,0.8,0.16666666666666666,True,system_aux_model_candidate
system_aux_model,common13,xgboost_depth3,dhw_storage_return@0.6,,0.7,0.08333333333333333,True,system_aux_model_candidate
system_aux_model,common13,logistic_balanced,dhw_storage@0.4,,0.8148148148148148,0.23529411764705882,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,heating_common_only@0.4,,0.7,0.125,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,heating_common_only@0.5,,0.7,0.125,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,heating_common_only@0.6,,0.7,0.125,True,system_aux_model_candidate
system_aux_model,common13,xgboost_depth3,dhw_storage@0.6,,0.7407407407407407,0.17647058823529413,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,dhw_storage@0.5,,0.7407407407407407,0.20588235294117646,True,system_aux_model_candidate
system_aux_model,common13,random_forest_depth3,dhw_storage@0.5,,0.7407407407407407,0.20588235294117646,True,system_aux_model_candidate
system_aux_model,common13,xgboost_depth3,dhw_storage_return@0.5,,0.7,0.16666666666666666,True,system_aux_model_candidate
system_aux_model,common13,lightgbm_depth3,dhw_storage@0.4,,0.7407407407407407,0.23529411764705882,True,system_aux_model_candidate
system_aux_model,common13,hist_gradient_boosting,dhw_storage@0.4,,0.8518518518518519,0.2647058823529412,False,system_aux_model_not_locked
system_aux_model,common13,xgboost_depth3,dhw_storage@0.5,,0.8148148148148148,0.2647058823529412,False,system_aux_model_not_locked
system_aux_model,common13,random_forest_depth3,heating_common_only@0.5,,0.6,0.0625,False,system_aux_model_not_locked
system_aux_model,common13,random_forest_depth3,dhw_storage_return@0.5,,0.6,0.08333333333333333,False,system_aux_model_not_locked
system_aux_model,common13,logistic_balanced,heating_common_only@0.5,,0.5,0.0,False,system_aux_model_not_locked
system_aux_model,common13,logistic_balanced,heating_common_only@0.6,,0.5,0.0,False,system_aux_model_not_locked
system_specific_threshold,common13,lightgbm_depth3,fallback_0.4,0.7461538461538462,0.6923076923076923,0.2,False,label_window_recheck_required
system_specific_threshold,common13,lightgbm_depth3,fallback_0.5,0.7461538461538462,0.6923076923076923,0.2,False,label_window_recheck_required
system_specific_threshold,common13,lightgbm_depth3,fallback_0.6,0.7461538461538462,0.6923076923076923,0.2,False,label_window_recheck_required
system_aux_model,common13,xgboost_depth3,dhw_storage@0.4,,0.8148148148148148,0.3235294117647059,False,system_aux_model_not_locked
system_aux_model,common13,xgboost_depth3,heating_common_only@0.4,,0.8,0.3125,False,system_aux_model_not_locked
system_aux_model,common13,xgboost_depth3,heating_common_only@0.5,,0.8,0.3125,False,system_aux_model_not_locked
system_specific_threshold,common13,xgboost_depth3,fallback_0.4,0.7412087912087912,0.6538461538461539,0.17142857142857143,False,label_window_recheck_required
system_specific_threshold,common13,xgboost_depth3,fallback_0.5,0.7412087912087912,0.6538461538461539,0.17142857142857143,False,label_window_recheck_required
system_specific_threshold,common13,xgboost_depth3,fallback_0.6,0.7412087912087912,0.6538461538461539,0.17142857142857143,False,label_window_recheck_required
system_aux_model,common13,random_forest_depth3,dhw_storage@0.4,,0.8888888888888888,0.4117647058823529,False,system_aux_model_not_locked
system_aux_model,common13,xgboost_depth3,dhw_storage_return@0.4,,0.8,0.3333333333333333,False,system_aux_model_not_locked
system_aux_model,common13,lightgbm_depth3,dhw_storage@0.6,,0.6666666666666666,0.20588235294117646,False,system_aux_model_not_locked
system_aux_model,common13,hist_gradient_boosting,dhw_storage@0.6,,0.6296296296296297,0.17647058823529413,False,system_aux_model_not_locked
system_aux_model,common13,hist_gradient_boosting,dhw_storage@0.5,,0.6666666666666666,0.23529411764705882,False,system_aux_model_not_locked
system_aux_model,common13,extra_trees_depth3,dhw_storage_return@0.5,,0.5,0.08333333333333333,False,system_aux_model_not_locked
system_aux_model,common13,random_forest_depth3,dhw_storage_return@0.6,,0.5,0.08333333333333333,False,system_aux_model_not_locked
system_aux_model,common13,extra_trees_depth3,dhw_storage_return@0.4,,1.0,0.5833333333333334,False,system_aux_model_not_locked
system_aux_model,common13,random_forest_depth3,dhw_storage@0.6,,0.5925925925925926,0.17647058823529413,False,system_aux_model_not_locked
